Query	       GCC4.6.3	ICC14.0	        ICC14.0(AVX2)   GCC4.8.1(AVX2)

TPCH-Q1 	6.27	2.94	113.27%	2.94	113.51%	6.08	3.13%

TPCH-Q10	3.54	1.43	154.68%	1.39	147.55%	3.52   	0.57%

TPCH-Q11	1.37	1.03	34.31%	1.02	32.58%	1.36	0.74%

TPCH-Q12	3.16	1.25	165.55%	1.19	152.13%	3.14	0.64%

TPCH-Q13	2.70	1.63	67.70%	1.61	65.64%	2.73	-1.10%

TPCH-Q14	2.11	1.21	74.38%	1.21	73.90%	2.07   	1.93%

TPCH-Q15	3.71	2.37	57.20%	2.36	56.32%	3.66   	1.37%

TPCH-Q16	1.25	0.87	45.35%	0.86	43.68%	1.25	0.00%

TPCH-Q17	3.62	2.46	48.36%	2.44	46.96%	3.64	-0.55%

TPCH-Q18	7.53	3.70	101.88%	3.73	103.33%	7.53   	0.00%

TPCH-Q19	4.70	3.57	31.28%	3.58	31.78%	4.67   	0.64%

TPCH-Q2 	1.30	0.94	39.78%	0.93	38.79%	1.28   	1.56%

TPCH-Q20	3.00	1.68	78.57%	1.68	78.57%	3.00   	0.00%

TPCH-Q21	10.11	3.84	169.60%	3.75	163.05%	9.98   	1.30%

TPCH-Q22	1.55	0.90	80.23%	0.86	72.22%	1.57   	-1.27%

TPCH-Q3 	4.53	1.89	139.68%	1.89	139.26%	4.57   	-0.88%

TPCH-Q4 	5.61	2.18	150.45%	2.24	156.95%	5.66   	-0.88%

TPCH-Q5 	5.30	2.27	136.61%	2.24	133.14%	5.28	0.38%

TPCH-Q6 	1.90	1.14	68.14%	1.13	66.67%	1.89   	0.53%

TPCH-Q7 	6.22	3.64	73.26%	3.59	70.88%	6.26   	-0.64%

TPCH-Q8 	5.94	2.64	129.34%	2.59	125.28%	5.84   	1.71%

TPCH-Q9 	7.43	3.21	130.03%	3.23	131.46%	7.32   	1.50%
