+------------+-------------+
| ps_partkey | value       |
+------------+-------------+
| 129760     | 17538456.86 |
| 166726     | 16503353.92 |
| 191287     | 16474801.97 |
| 161758     | 16101755.54 |
| 34452      | 15983844.72 |
| 139035     | 15907078.34 |
| 9403       | 15451755.62 |
| 154358     | 15212937.88 |
| 38823      | 15064802.86 |
| 85606      | 15053957.15 |
| 33354      | 14408297.40 |
| 154747     | 14407580.68 |
| 82865      | 14235489.78 |
| 76094      | 14094247.04 |
| 222        | 13937777.74 |
| 121271     | 13908336.00 |
| 55221      | 13716120.47 |
| 22819      | 13666434.28 |
| 76281      | 13646853.68 |
| 85298      | 13581154.93 |
| 85158      | 13554904.00 |
| 139684     | 13535538.72 |
| 31034      | 13498025.25 |
| 87305      | 13482847.04 |
| 10181      | 13445148.75 |
| 62323      | 13411824.30 |
| 26489      | 13377256.38 |
| 96493      | 13339057.83 |
| 56548      | 13329014.97 |
| 55576      | 13306843.35 |
| 159751     | 13306614.48 |
| 92406      | 13287414.50 |
| 182636     | 13223726.74 |
| 199969     | 13135288.21 |
| 62865      | 13001926.94 |
| 7284       | 12945298.19 |
| 197867     | 12944510.52 |
| 11562      | 12931575.51 |
| 75165      | 12916918.12 |
| 97175      | 12911283.50 |
| 140840     | 12896562.23 |
| 65241      | 12890600.46 |
| 166120     | 12876927.22 |
| 9035       | 12863828.70 |
| 144616     | 12853549.30 |
| 176723     | 12832309.74 |
| 170884     | 12792136.58 |
| 29790      | 12723300.33 |
| 95213      | 12555483.73 |
| 183873     | 12550533.05 |
| 171235     | 12476538.30 |
| 21533      | 12437821.32 |
| 17290      | 12432159.50 |
| 156397     | 12260623.50 |
| 122611     | 12222812.98 |
| 139155     | 12220319.25 |
| 146316     | 12215800.61 |
| 171381     | 12199734.52 |
| 198633     | 12078226.95 |
| 167417     | 12046637.62 |
| 59512      | 12043468.76 |
| 31688      | 12034893.64 |
| 159586     | 12001505.84 |
| 8993       | 11963814.30 |
| 120302     | 11857707.55 |
| 43536      | 11779340.52 |
| 9552       | 11776909.16 |
| 86223      | 11772205.08 |
| 53776      | 11758669.65 |
| 131285     | 11616953.74 |
| 91628      | 11611114.83 |
| 169644     | 11567959.72 |
| 182299     | 11567462.05 |
| 33107      | 11453818.76 |
| 104184     | 11436657.44 |
| 67027      | 11419127.14 |
| 176869     | 11371451.71 |
| 30885      | 11369674.79 |
| 54420      | 11345076.88 |
| 72240      | 11313951.05 |
| 178708     | 11294635.17 |
| 81298      | 11273686.13 |
| 158324     | 11243442.72 |
| 117095     | 11242535.24 |
| 176793     | 11237733.38 |
| 86091      | 11177793.79 |
| 116033     | 11145434.36 |
| 129058     | 11119112.20 |
| 193714     | 11104706.39 |
| 117195     | 11077217.96 |
| 49851      | 11043701.78 |
| 19791      | 11030662.62 |
| 75800      | 11012401.62 |
| 161562     | 10996371.69 |
| 10119      | 10980015.75 |
| 39185      | 10970042.56 |
| 47223      | 10950022.13 |
| 175594     | 10942923.05 |
| 111295     | 10893675.61 |
| 155446     | 10852764.57 |
| 156391     | 10839810.38 |
| 40884      | 10837234.19 |
| 141288     | 10837130.21 |
| 152388     | 10830977.82 |
| 33449      | 10830858.72 |
| 149035     | 10826130.02 |
| 162620     | 10814275.68 |
| 118324     | 10791788.10 |
| 38932      | 10777541.75 |
| 121294     | 10764225.22 |
| 48721      | 10762582.49 |
| 63342      | 10740132.60 |
| 5614       | 10724668.80 |
| 62266      | 10711143.10 |
| 100202     | 10696675.55 |
| 197741     | 10688560.72 |
| 169178     | 10648522.80 |
| 5271       | 10639392.65 |
| 34499      | 10584177.10 |
| 71108      | 10569117.56 |
| 137132     | 10539880.47 |
| 78451      | 10524873.24 |
| 150827     | 10503810.48 |
| 107237     | 10488030.84 |
| 101727     | 10473558.10 |
| 58708      | 10466280.44 |
| 89768      | 10465477.22 |
| 146493     | 10444291.58 |
| 55424      | 10444006.48 |
| 16560      | 10425574.74 |
| 133114     | 10415097.90 |
| 195810     | 10413625.20 |
| 76673      | 10391977.18 |
| 97305      | 10390890.57 |
| 134210     | 10387210.02 |
| 188536     | 10386529.92 |
| 122255     | 10335760.32 |
| 2682       | 10312966.10 |
| 43814      | 10303086.61 |
| 34767      | 10290405.18 |
| 165584     | 10273705.89 |
| 2231       | 10270415.55 |
| 111259     | 10263256.56 |
| 195578     | 10239795.82 |
| 21093      | 10217531.30 |
| 29856      | 10216932.54 |
| 133686     | 10213345.76 |
| 87745      | 10185509.40 |
| 135153     | 10179379.70 |
| 11773      | 10167410.84 |
| 76316      | 10165151.70 |
| 123076     | 10161225.78 |
| 91894      | 10130462.19 |
| 39741      | 10128387.52 |
| 111753     | 10119780.98 |
| 142729     | 10104748.89 |
| 116775     | 10097750.42 |
| 102589     | 10034784.36 |
| 186268     | 10012181.57 |
| 44545      | 10000286.48 |
| 23307      | 9966577.50  |
| 124281     | 9930018.90  |
| 69604      | 9925730.64  |
| 21971      | 9908982.03  |
| 58148      | 9895894.40  |
| 16532      | 9886529.90  |
| 159180     | 9883744.43  |
| 74733      | 9877582.88  |
| 35173      | 9858275.92  |
| 7116       | 9856881.02  |
| 124620     | 9838589.14  |
| 122108     | 9829949.35  |
| 67200      | 9828690.69  |
| 164775     | 9821424.44  |
| 9039       | 9816447.72  |
| 14912      | 9803102.20  |
| 190906     | 9791315.70  |
| 130398     | 9781674.27  |
| 119310     | 9776927.21  |
| 10132      | 9770930.78  |
| 107211     | 9757586.25  |
| 113958     | 9757065.50  |
| 37009      | 9748362.69  |
| 66746      | 9743528.76  |
| 134486     | 9731922.00  |
| 15945      | 9731096.45  |
| 55307      | 9717745.80  |
| 56362      | 9714922.83  |
| 57726      | 9711792.10  |
| 57256      | 9708621.00  |
| 112292     | 9701653.08  |
| 87514      | 9699492.53  |
| 174206     | 9680562.02  |
| 72865      | 9679043.34  |
| 114357     | 9671017.44  |
| 112807     | 9665019.21  |
| 115203     | 9661018.73  |
| 177454     | 9658906.35  |
| 161275     | 9634313.71  |
| 61893      | 9617095.44  |
| 122219     | 9604888.20  |
| 183427     | 9601362.58  |
| 59158      | 9599705.96  |
| 61931      | 9584918.98  |
| 5532       | 9579964.14  |
| 20158      | 9576714.38  |
| 167199     | 9557413.08  |
| 38869      | 9550279.53  |
| 86949      | 9541943.70  |
| 198544     | 9538613.92  |
| 193762     | 9538238.94  |
| 108807     | 9536247.16  |
| 168324     | 9535647.99  |
| 115588     | 9532195.04  |
| 141372     | 9529702.14  |
| 175120     | 9526068.66  |
| 163851     | 9522808.83  |
| 160954     | 9520359.45  |
| 117757     | 9517882.80  |
| 52594      | 9508325.76  |
| 60960      | 9498843.06  |
| 70272      | 9495775.62  |
| 44050      | 9495515.36  |
| 152213     | 9494756.96  |
| 121203     | 9492601.30  |
| 70114      | 9491012.30  |
| 167588     | 9484741.11  |
| 136455     | 9476241.78  |
| 4357       | 9464355.64  |
| 6786       | 9463632.57  |
| 61345      | 9455336.70  |
| 160826     | 9446754.84  |
| 71275      | 9440138.40  |
| 77746      | 9439118.35  |
| 91289      | 9437472.00  |
| 56723      | 9435102.16  |
| 86647      | 9434604.18  |
| 131234     | 9432120.00  |
| 198129     | 9427651.36  |
| 165530     | 9426193.68  |
| 69233      | 9425053.92  |
| 6243       | 9423304.66  |
| 90110      | 9420422.70  |
| 191980     | 9419368.36  |
| 38461      | 9419316.07  |
| 167873     | 9419024.49  |
| 159373     | 9416950.15  |
| 128707     | 9413428.50  |
| 45267      | 9410863.78  |
| 48460      | 9409793.93  |
| 197672     | 9406887.68  |
| 60884      | 9403442.40  |
| 15209      | 9403245.31  |
| 138049     | 9401262.10  |
| 199286     | 9391770.70  |
| 19629      | 9391236.40  |
| 134019     | 9390615.15  |
| 169475     | 9387639.58  |
| 165918     | 9379510.44  |
| 135602     | 9374251.54  |
| 162323     | 9367566.51  |
| 96277      | 9360850.68  |
| 98336      | 9359671.29  |
| 119781     | 9356395.73  |
| 34440      | 9355365.00  |
| 57362      | 9355180.10  |
| 167236     | 9352973.84  |
| 38463      | 9347530.94  |
| 86749      | 9346826.44  |
| 170007     | 9345699.90  |
| 193087     | 9343744.00  |
| 150383     | 9332576.75  |
| 60932      | 9329582.02  |
| 128420     | 9328206.35  |
| 162145     | 9327722.88  |
| 55686      | 9320304.40  |
| 163080     | 9304916.96  |
| 160583     | 9303515.92  |
| 118153     | 9298606.56  |
| 152634     | 9282184.57  |
| 84731      | 9276586.92  |
| 119989     | 9273814.20  |
| 114584     | 9269698.65  |
| 131817     | 9268570.08  |
| 29068      | 9256583.88  |
| 44116      | 9255922.00  |
| 115818     | 9253311.91  |
| 103388     | 9239218.08  |
| 186118     | 9236209.12  |
| 155809     | 9235410.84  |
| 147003     | 9234847.99  |
| 27769      | 9232511.64  |
| 112779     | 9231927.36  |
| 124851     | 9228982.68  |
| 158488     | 9227216.40  |
| 83328      | 9224792.20  |
| 136797     | 9222927.09  |
| 141730     | 9216370.68  |
| 87304      | 9215695.50  |
| 156004     | 9215557.90  |
| 140740     | 9215329.20  |
| 100648     | 9212185.08  |
| 174774     | 9211718.00  |
| 37644      | 9211578.60  |
| 48807      | 9209496.24  |
| 95940      | 9207948.40  |
| 141586     | 9206699.22  |
| 147248     | 9205654.95  |
| 61372      | 9205228.76  |
| 52970      | 9204415.95  |
| 26430      | 9203710.51  |
| 28504      | 9201669.20  |
| 25810      | 9198878.50  |
| 125329     | 9198688.50  |
| 167867     | 9194022.72  |
| 134767     | 9191444.72  |
| 127745     | 9191271.56  |
| 69208      | 9187110.00  |
| 155222     | 9186469.16  |
| 196916     | 9182995.82  |
| 195590     | 9176353.12  |
| 169155     | 9175176.09  |
| 81558      | 9171946.50  |
| 185136     | 9171293.04  |
| 114790     | 9168509.10  |
| 194142     | 9165836.61  |
| 167639     | 9161165.00  |
| 11241      | 9160789.46  |
| 82628      | 9160155.54  |
| 41399      | 9148338.00  |
| 30755      | 9146196.84  |
| 6944       | 9143574.58  |
| 6326       | 9138803.16  |
| 101296     | 9135657.62  |
| 181479     | 9121093.30  |
| 76898      | 9120983.10  |
| 64274      | 9118745.25  |
| 175826     | 9117387.99  |
| 142215     | 9116876.88  |
| 103415     | 9113128.62  |
| 119765     | 9110768.79  |
| 107624     | 9108837.45  |
| 84215      | 9105257.36  |
| 73774      | 9102651.92  |
| 173972     | 9102069.00  |
| 69817      | 9095513.88  |
| 86943      | 9092253.00  |
| 138859     | 9087719.30  |
| 162273     | 9085296.48  |
| 175945     | 9080401.21  |
| 16836      | 9075715.44  |
| 70224      | 9075265.95  |
| 139765     | 9074755.89  |
| 30319      | 9073233.10  |
| 3851       | 9072657.24  |
| 181271     | 9070631.52  |
| 162184     | 9068835.78  |
| 81683      | 9067258.47  |
| 153028     | 9067010.51  |
| 123324     | 9061870.95  |
| 186481     | 9058608.30  |
| 167680     | 9052908.76  |
| 165293     | 9050545.70  |
| 122148     | 9046298.17  |
| 138604     | 9045840.80  |
| 78851      | 9044822.60  |
| 137280     | 9042355.34  |
| 8823       | 9040855.10  |
| 163900     | 9040848.48  |
| 75600      | 9035392.45  |
| 81676      | 9031999.40  |
| 46033      | 9031460.58  |
| 194917     | 9028500.00  |
| 133936     | 9026949.02  |
| 33182      | 9024971.10  |
| 34220      | 9021485.39  |
| 20118      | 9019942.60  |
| 178258     | 9019881.66  |
| 15560      | 9017687.28  |
| 111425     | 9016198.56  |
| 95942      | 9015585.12  |
| 132709     | 9015240.15  |
| 39731      | 9014746.95  |
| 154307     | 9012571.20  |
| 23769      | 9008157.60  |
| 93328      | 9007211.20  |
| 142826     | 8998297.44  |
| 188792     | 8996014.00  |
| 68703      | 8994982.22  |
| 145280     | 8990941.05  |
| 150725     | 8985686.16  |
| 172046     | 8982469.52  |
| 70476      | 8967629.50  |
| 124988     | 8966805.22  |
| 17937      | 8963319.76  |
| 177372     | 8954873.64  |
| 137994     | 8950916.79  |
| 84019      | 8950039.98  |
| 40389      | 8946158.20  |
| 69187      | 8941054.14  |
| 4863       | 8939044.92  |
| 50465      | 8930503.14  |
| 43686      | 8915543.84  |
| 131352     | 8909053.59  |
| 198916     | 8906940.03  |
| 135932     | 8905282.95  |
| 104673     | 8903682.00  |
| 152308     | 8903244.08  |
| 135298     | 8900323.20  |
| 156873     | 8899429.10  |
| 157454     | 8897339.20  |
| 75415      | 8897068.09  |
| 46325      | 8895569.09  |
| 1966       | 8895117.06  |
| 24576      | 8895034.75  |
| 19425      | 8890156.60  |
| 169735     | 8890085.56  |
| 32225      | 8889829.28  |
| 124537     | 8889770.71  |
| 146327     | 8887836.23  |
| 121562     | 8887740.40  |
| 44731      | 8882444.95  |
| 93141      | 8881850.88  |
| 187871     | 8873506.18  |
| 71709      | 8873057.28  |
| 151913     | 8869321.17  |
| 33786      | 8868955.39  |
| 35902      | 8868126.06  |
| 23588      | 8867769.90  |
| 24508      | 8867616.00  |
| 161282     | 8866661.43  |
| 188061     | 8862304.00  |
| 132847     | 8862082.00  |
| 166843     | 8861200.80  |
| 30609      | 8860214.73  |
| 56191      | 8856546.96  |
| 160740     | 8852685.43  |
| 71229      | 8846106.99  |
| 91208      | 8845541.28  |
| 10995      | 8845306.56  |
| 78094      | 8839938.29  |
| 36489      | 8838538.10  |
| 198437     | 8836494.84  |
| 151693     | 8833807.64  |
| 185367     | 8829791.37  |
| 65682      | 8820622.89  |
| 65421      | 8819329.24  |
| 122225     | 8816821.86  |
| 85330      | 8811013.16  |
| 64555      | 8810643.12  |
| 104188     | 8808211.02  |
| 54411      | 8805703.40  |
| 39438      | 8805282.56  |
| 70795      | 8800060.92  |
| 20383      | 8799073.28  |
| 21952      | 8798624.19  |
| 63584      | 8796590.00  |
| 158768     | 8796422.95  |
| 166588     | 8796214.38  |
| 120600     | 8793558.06  |
| 157202     | 8788287.88  |
| 55358      | 8786820.75  |
| 168322     | 8786670.73  |
| 25143      | 8786324.80  |
| 5368       | 8786274.14  |
| 114025     | 8786201.12  |
| 97744      | 8785315.94  |
| 164327     | 8784503.86  |
| 76542      | 8782613.28  |
| 4731       | 8772846.70  |
| 157590     | 8772006.45  |
| 154276     | 8771733.91  |
| 28705      | 8771576.64  |
| 100226     | 8769455.00  |
| 179195     | 8769185.16  |
| 184355     | 8768118.05  |
| 120408     | 8768011.12  |
| 63145      | 8761991.96  |
| 53135      | 8753491.80  |
| 173071     | 8750508.80  |
| 41087      | 8749436.79  |
| 194830     | 8747438.40  |
| 43496      | 8743359.30  |
| 30235      | 8741611.00  |
| 26391      | 8741399.64  |
| 191816     | 8740258.72  |
| 47616      | 8737229.68  |
| 152101     | 8734432.76  |
